product_number,image_path,total_products
1,base/photo_2025-12-01 02.24.34.jpeg,9
2,base/photo_2025-12-01 02.24.35.jpeg,9
3,base/photo_2025-12-01 02.24.36.jpeg,9
4,base/photo_2025-12-01 02.24.37.jpeg,9
5,base/photo_2025-12-01 02.24.38.jpeg,9
6,base/photo_2025-12-01 02.24.39.jpeg,9
7,base/photo_2025-12-01 02.24.40.jpeg,9
8,base/photo_2025-12-01 02.24.41.jpeg,9
9,base/photo_2025-12-01 02.24.42.jpeg,9
