product_number,image_path,total_products
1,premium/photo_2025-12-01 00.33.11 (1).jpeg,9
2,premium/photo_2025-12-01 00.33.11.jpeg,9
3,premium/photo_2025-12-01 00.33.12.jpeg,9
4,premium/photo_2025-12-01 00.33.13.jpeg,9
5,premium/photo_2025-12-01 00.33.14.jpeg,9
6,premium/photo_2025-12-01 00.33.15.jpeg,9
7,premium/photo_2025-12-01 00.33.17.jpeg,9
8,premium/photo_2025-12-01 00.33.18.jpeg,9
9,premium/photo_2025-12-01 00.33.19.jpeg,9
